_price,_crawlTime,_primary_img_url,_offer,_out_of_stock,_description,_categories,_retailer_sku,_url,_title
$7.20 ,12/2/2015 12:27,https://a4ucontent.blob.core.windows.net/images/0000544_0.png,2 for $13.00,FALSE,"Pacific West <br/>
Fish & chips <br/>
<small><span style= ""color: gray""> 500g </span></small>
",Processed Frozen Seafood,prod-data-id1046,https://allforyou.sg/processed-frozen-seafood?pagenumber=1,Pacific West Fish & Chips 500G
$0.80 ,12/2/2015 12:23,https://a4ucontent.blob.core.windows.net/images/0021195_0.png,,FALSE,,Pest Control,prod-data-id105598,https://allforyou.sg/pest-control?pagenumber=1,Baygon Mosquito Coil Lav 10S
$7.95 ,12/2/2015 12:23,https://a4ucontent.blob.core.windows.net/images/0041693_0.png,,FALSE,"Air Wick F'matic F.Bouquet Ref 250ML
","Air, Room & Car Fragrances ",prod-data-id105954,https://allforyou.sg/air-room-car-fragrances?pagenumber=2,Airwick F'MATIC F.Bouquet Ref 250ML
$2.50 ,12/2/2015 12:20,https://a4ucontent.blob.core.windows.net/images/0044592_0.png,,FALSE,"ESPP <br/>
4 Colour Pen <br/>
<span style=""color: grey;"">2S</span> ",Stationery,prod-data-id10597,https://allforyou.sg/stationery?pagenumber=1,Espp 4 Col Pen 2S 28030
$3.30 ,12/2/2015 12:20,https://a4ucontent.blob.core.windows.net/images/0044594_0.png,,FALSE,"ESPP <br/>
Correction Tape <br/>
<span style=""color: grey;"">2S</span> ",Stationery,prod-data-id10601,https://allforyou.sg/stationery?pagenumber=1,Espp Correction Pen 2S 2504
$1.50 ,12/2/2015 12:20,https://a4ucontent.blob.core.windows.net/images/0044603_0.png,,FALSE,"ESPP <br/>
Ruler Set <br/>
<span style= ""color: gray""> 4S </span>",Stationery,prod-data-id10629,https://allforyou.sg/stationery?pagenumber=1,Espp Ruler Set 075
$1.50 ,12/2/2015 12:20,https://a4ucontent.blob.core.windows.net/images/0044608_0.png,,FALSE,"ESPP <br/>
Scissors Set <br/>
<span style= ""color: gray""> 1S </span>",Stationery,prod-data-id10630,https://allforyou.sg/stationery?pagenumber=1,Espp Scissors Set 075
$1.50 ,12/2/2015 12:20,https://a4ucontent.blob.core.windows.net/images/0044616_0.png,,FALSE,"ESPP <br/>
Glue Set <br/>
<span style= ""color: gray""> 4S </span>",Stationery,prod-data-id10631,https://allforyou.sg/stationery?pagenumber=1,Espp Glue Set 075
$3.60 ,12/2/2015 12:23,https://a4ucontent.blob.core.windows.net/images/default-image_0.png,,FALSE,"China Paddy Broom UA-1086
",Household Cleaning Equipments,prod-data-id106330,https://allforyou.sg/household-cleaning-equipments?pagenumber=1,China Paddy Broom UA-1086
$9.65 ,12/2/2015 12:27,https://a4ucontent.blob.core.windows.net/images/0000550_0.png,,FALSE,"Singourmet <br/>
Lamb Shabu Shabu <br/>
<small><span style= ""color: gray""> 400g </span></small>",Frozen Mutton,prod-data-id1064,https://allforyou.sg/frozen-mutton?pagenumber=1,Singourmet Lamb Shabu Shabu 400G
$7.95 ,12/2/2015 12:23,https://a4ucontent.blob.core.windows.net/images/default-image_0.png,,TRUE,"Mop Pail With Wheel (M) <br/>
",Household Cleaning Equipments,prod-data-id106815,https://allforyou.sg/household-cleaning-equipments?pagenumber=1,Mop Pail W/Wheel (M) LN7007
$1.00 ,12/2/2015 12:23,https://a4ucontent.blob.core.windows.net/images/default-image_0.png,,TRUE,"Round Container <br/>
",Containers,prod-data-id106899,https://allforyou.sg/containers?pagenumber=1,Round Container LN3000
